278.7873910004273, sync, copy, 349, 4, 1
1413.1394469998777, sync, copy, 4863, 4, 1
646.9108939999714, sync, copy, 2241, 4, 1
880.7816659994423, sync, copy, 3195, 4, 1
398.1910580005497, sync, copy, 1502, 4, 1
1.101257000118494, promise, copy, 19, 4, 10
956.6351189995185, callback, copy, 3552, 4, 1000
782.9283910002559, callback, copy, 2760, 4, 1000
54.869851999916136, sync, copy, 462, 4, 1
321.83612699992955, promise, copy, 1186, 4, 10000
2209.658765000291, sync, copy, 7119, 4, 1
1.1305589992552996, promise, copy, 24, 4, 10
2316.7953070001677, callback, copy, 7622, 4, 100
955.2563919993117, sync, copy, 2399, 4, 1
37.36292799934745, promise, copy, 254, 4, 1000
63.30346699990332, callback, copy, 378, 4, 100
1487.696266000159, sync, copy, 4548, 4, 1
36.6082889996469, sync, copy, 154, 4, 1
144.4703550003469, callback, copy, 608, 4, 100
1827.5848039994016, callback, copy, 5882, 4, 10
331.9468280002475, callback, copy, 1212, 4, 10000
1.771891999989748, promise, copy, 120, 4, 100
69.57859000004828, sync, copy, 371, 4, 1
224.76179799996316, promise, copy, 815, 4, 10
320.60954399965703, promise, copy, 1237, 4, 1
2202.5592900002375, callback, copy, 7647, 4, 10000
10.474346000701189, callback, copy, 123, 4, 100
30.067865000106394, promise, copy, 287, 4, 10000
88.40510400012136, promise, copy, 528, 4, 100
366.9293090002611, callback, copy, 884, 4, 10
310.8954910002649, sync, copy, 843, 4, 1
53.6590940002352, sync, copy, 363, 4, 1
168.92249699961394, promise, copy, 637, 4, 10
3278.3842319995165, promise, copy, 7497, 4, 10
1194.323189000599, callback, copy, 4047, 4, 1
146.68377500027418, sync, copy, 719, 4, 1
10.022216999903321, promise, copy, 247, 4, 100
1887.2937650000677, sync, copy, 5507, 4, 1
24.912786999717355, callback, copy, 232, 4, 10
21.513110999949276, sync, copy, 134, 4, 1
4.106912000104785, promise, copy, 94, 4, 1000
1.9092979999259114, callback, copy, 13, 4, 1
1.3312680004164577, sync, copy, 23, 4, 1
57.212054000236094, promise, copy, 392, 4, 10000
542.6515239998698, sync, copy, 2109, 4, 1
26.02524400036782, promise, copy, 191, 4, 1
0.7253369996324182, promise, copy, 25, 4, 10
3.970005000010133, callback, copy, 125, 4, 10
292.8698249999434, sync, copy, 1238, 4, 1
76.46474900003523, promise, copy, 449, 4, 10000
1.6636859998106956, promise, copy, 75, 4, 100
5.82390100043267, sync, copy, 42, 4, 1
180.90544199943542, sync, copy, 773, 4, 1
23.557315999642015, callback, copy, 202, 4, 100
0.4205220006406307, promise, copy, 18, 4, 100
4.581937000155449, promise, copy, 44, 4, 1
3.2251660004258156, callback, copy, 190, 4, 100
31.33751800004393, sync, copy, 117, 4, 1
1792.495868999511, callback, copy, 6224, 4, 1000
591.6286530001089, callback, copy, 2126, 4, 10000
73.38128700014204, promise, copy, 117, 4, 1
17.955125999636948, promise, copy, 33, 4, 10
148.2733509996906, promise, copy, 520, 4, 10000
281.2651140000671, sync, copy, 984, 4, 1
325.97732200007886, callback, copy, 1189, 4, 1000
2300.836428999901, callback, copy, 7893, 4, 10000
5.697695000097156, callback, copy, 79, 4, 10000
0.3551179999485612, promise, copy, 13, 4, 10000
707.7915239995345, sync, copy, 2386, 4, 1
0.9406489999964833, promise, copy, 44, 4, 10
0.9379489999264479, sync, copy, 14, 4, 1
15.519000999629498, promise, copy, 102, 4, 1
7.747099999338388, promise, copy, 136, 4, 100
22.469759999774396, promise, copy, 247, 4, 1000
0.6247320007532835, promise, copy, 20, 4, 1000
2544.214341999963, sync, copy, 8168, 4, 1
274.9092999994755, promise, copy, 1152, 4, 1
1.056055000051856, sync, copy, 19, 4, 1
0.9373480007052422, callback, copy, 45, 4, 10
127.27647499926388, callback, copy, 695, 4, 100
57.53777199983597, promise, copy, 65, 4, 1
194.7714609997347, sync, copy, 283, 4, 1
153.1852129995823, promise, copy, 658, 4, 1000
25.87273699976504, sync, copy, 138, 4, 1
967.2201619995758, callback, copy, 3439, 4, 1000
82.88848099950701, callback, copy, 618, 4, 10
1101.411992999725, callback, copy, 3917, 4, 100
27.36821400001645, promise, copy, 321, 4, 10000
0.33231700025498867, callback, copy, 10, 4, 1000
1.2550640003755689, callback, copy, 10, 4, 1
2374.7862689998, promise, copy, 8164, 4, 100
